PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
99_large,"exp (32, 4-9.JPG)",right,n,right,C,408,congruent,5,4_9,
99_large,"exp (25, 4-1.JPG)",left,b,left,C,408,incongruent,3,4_1,small pairs
99_large,"exp (21, 3-6.JPG)",right,n,right,C,408,congruent,3,3_6,
99_large,"exp (28, 4-5.JPG)",right,n,right,C,409,congruent,1,4_5,
99_large,"exp (1, 1-2.JPG)",right,n,right,C,410,congruent,1,1_2,small pairs
99_large,"exp (53, 7-5.JPG)",left,b,left,C,412,incongruent,2,7_5,
99_large,"exp (65, 9-1.JPG)",left,b,left,C,414,incongruent,8,9_1,
99_large,"exp (33, 5-1.JPG)",left,b,left,C,415,incongruent,4,5_1,
99_large,"exp (23, 3-8.JPG)",right,n,right,C,416,congruent,5,3_8,
99_large,"exp (44, 6-4.JPG)",left,b,left,C,416,incongruent,2,6_4,
99_large,"exp (70, 9-6.JPG)",left,b,left,C,416,incongruent,3,9_6,large pairs
99_large,"exp (13, 2-6.JPG)",right,n,right,C,418,congruent,4,2_6,
99_large,"exp (65, 9-1.JPG)",left,b,left,C,418,incongruent,8,9_1,
99_large,"exp (69, 9-5.JPG)",left,b,left,C,418,incongruent,4,9_5,
99_large,"exp (17, 3-1.JPG)",left,b,left,C,422,incongruent,2,3_1,small pairs
99_large,"exp (57, 8-1.JPG)",left,b,left,C,422,incongruent,7,8_1,
99_large,"exp (44, 6-4.JPG)",left,b,left,C,423,incongruent,2,6_4,
99_large,"exp (17, 3-1.JPG)",left,b,left,C,424,incongruent,2,3_1,small pairs
99_large,"exp (7, 1-8.JPG)",right,n,right,C,424,congruent,7,1_8,
99_large,"exp (19, 3-4.JPG)",right,n,right,C,425,congruent,1,3_4,small pairs
99_large,"exp (60, 8-4.JPG)",left,b,left,C,426,incongruent,4,8_4,
99_large,"exp (72, 9-8.JPG)",left,b,left,C,426,incongruent,1,9_8,large pairs
99_large,"exp (41, 6-1.JPG)",left,b,left,C,426,incongruent,5,6_1,
99_large,"exp (7, 1-8.JPG)",right,n,right,C,428,congruent,7,1_8,
99_large,"exp (60, 8-4.JPG)",left,b,left,C,430,incongruent,4,8_4,
99_large,"exp (34, 5-2.JPG)",left,b,left,C,430,incongruent,3,5_2,
99_large,"exp (63, 8-7.JPG)",left,b,left,C,430,incongruent,1,8_7,large pairs
99_large,"exp (6, 1-7.JPG)",right,n,right,C,432,congruent,6,1_7,
99_large,"exp (32, 4-9.JPG)",right,n,right,C,432,congruent,5,4_9,
99_large,"exp (2, 1-3.JPG)",right,n,right,C,432,congruent,2,1_3,small pairs
99_large,"exp (57, 8-1.JPG)",left,b,left,C,434,incongruent,7,8_1,
99_large,"exp (33, 5-1.JPG)",left,b,left,C,434,incongruent,4,5_1,
99_large,"exp (67, 9-3.JPG)",left,b,left,C,436,incongruent,6,9_3,
99_large,"exp (33, 5-1.JPG)",left,b,left,C,436,incongruent,4,5_1,
99_large,"exp (5, 1-6.JPG)",right,n,right,C,436,congruent,5,1_6,
99_large,"exp (66, 9-2.JPG)",left,b,left,C,438,incongruent,7,9_2,
99_large,"exp (4, 1-5.JPG)",right,n,right,C,438,congruent,4,1_5,
99_large,"exp (6, 1-7.JPG)",right,n,right,C,438,congruent,6,1_7,
99_large,"exp (72, 9-8.JPG)",left,b,left,C,439,incongruent,1,9_8,large pairs
99_large,"exp (52, 7-4.JPG)",left,b,left,C,440,incongruent,3,7_4,
99_large,"exp (28, 4-5.JPG)",right,n,right,C,440,congruent,1,4_5,
99_large,"exp (17, 3-1.JPG)",left,b,left,C,440,incongruent,2,3_1,small pairs
99_large,"exp (58, 8-2.JPG)",left,b,left,C,440,incongruent,6,8_2,
99_large,"exp (72, 9-8.JPG)",left,b,left,C,442,incongruent,1,9_8,large pairs
99_large,"exp (29, 4-6.JPG)",right,n,right,C,442,congruent,2,4_6,
99_large,"exp (32, 4-9.JPG)",right,n,right,C,442,congruent,5,4_9,
99_large,"exp (11, 2-4.JPG)",right,n,right,C,442,congruent,2,2_4,small pairs
99_large,"exp (33, 5-1.JPG)",left,b,left,C,442,incongruent,4,5_1,
99_large,"exp (29, 4-6.JPG)",right,n,right,C,442,congruent,2,4_6,
99_large,"exp (10, 2-3.JPG)",right,n,right,C,443,congruent,1,2_3,small pairs
99_large,"exp (27, 4-3.JPG)",left,b,left,C,443,incongruent,1,4_3,small pairs
99_large,"exp (11, 2-4.JPG)",right,n,right,C,445,congruent,2,2_4,small pairs
99_large,"exp (67, 9-3.JPG)",left,b,left,C,446,incongruent,6,9_3,
99_large,"exp (15, 2-8.JPG)",right,n,right,C,446,congruent,6,2_8,
99_large,"exp (59, 8-3.JPG)",left,b,left,C,446,incongruent,5,8_3,
99_large,"exp (33, 5-1.JPG)",left,b,left,C,447,incongruent,4,5_1,
99_large,"exp (5, 1-6.JPG)",right,n,right,C,447,congruent,5,1_6,
99_large,"exp (44, 6-4.JPG)",left,b,left,C,448,incongruent,2,6_4,
99_large,"exp (59, 8-3.JPG)",left,b,left,C,448,incongruent,5,8_3,
99_large,"exp (50, 7-2.JPG)",left,b,left,C,448,incongruent,5,7_2,
99_large,"exp (34, 5-2.JPG)",left,b,left,C,448,incongruent,3,5_2,
99_large,"exp (65, 9-1.JPG)",left,b,left,C,448,incongruent,8,9_1,
99_large,"exp (16, 2-9.JPG)",right,n,right,C,449,congruent,7,2_9,
99_large,"exp (22, 3-7.JPG)",right,n,right,C,449,congruent,4,3_7,
99_large,"exp (31, 4-8.JPG)",right,n,right,C,450,congruent,4,4_8,
99_large,"exp (15, 2-8.JPG)",right,n,right,C,450,congruent,6,2_8,
99_large,"exp (2, 1-3.JPG)",right,n,right,C,450,congruent,2,1_3,small pairs
99_large,"exp (16, 2-9.JPG)",right,n,right,C,450,congruent,7,2_9,
99_large,"exp (50, 7-2.JPG)",left,b,left,C,453,incongruent,5,7_2,
99_large,"exp (51, 7-3.JPG)",left,b,left,C,453,incongruent,4,7_3,
99_large,"exp (42, 6-2.JPG)",left,b,left,C,453,incongruent,4,6_2,
99_large,"exp (26, 4-2.JPG)",left,b,left,C,454,incongruent,2,4_2,small pairs
99_large,"exp (57, 8-1.JPG)",left,b,left,C,454,incongruent,7,8_1,
99_large,"exp (9, 2-1.JPG)",left,b,left,C,454,incongruent,1,2_1,small pairs
99_large,"exp (15, 2-8.JPG)",right,n,right,C,454,congruent,6,2_8,
99_large,"exp (41, 6-1.JPG)",left,b,left,C,454,incongruent,5,6_1,
99_large,"exp (17, 3-1.JPG)",left,b,left,C,455,incongruent,2,3_1,small pairs
99_large,"exp (1, 1-2.JPG)",right,n,right,C,455,congruent,1,1_2,small pairs
99_large,"exp (4, 1-5.JPG)",right,n,right,C,456,congruent,4,1_5,
99_large,"exp (25, 4-1.JPG)",left,b,left,C,456,incongruent,3,4_1,small pairs
99_large,"exp (60, 8-4.JPG)",left,b,left,C,456,incongruent,4,8_4,
99_large,"exp (25, 4-1.JPG)",left,b,left,C,456,incongruent,3,4_1,small pairs
99_large,"exp (39, 5-8.JPG)",right,n,right,C,456,congruent,3,5_8,
99_large,"exp (67, 9-3.JPG)",left,b,left,C,457,incongruent,6,9_3,
99_large,"exp (50, 7-2.JPG)",left,b,left,C,457,incongruent,5,7_2,
99_large,"exp (50, 7-2.JPG)",left,b,left,C,457,incongruent,5,7_2,
99_large,"exp (5, 1-6.JPG)",right,n,right,C,458,congruent,5,1_6,
99_large,"exp (4, 1-5.JPG)",right,n,right,C,458,congruent,4,1_5,
99_large,"exp (20, 3-5.JPG)",right,n,right,C,460,congruent,2,3_5,
99_large,"exp (7, 1-8.JPG)",right,n,right,C,460,congruent,7,1_8,
99_large,"exp (13, 2-6.JPG)",right,n,right,C,460,congruent,4,2_6,
99_large,"exp (68, 9-4.JPG)",left,b,left,C,461,incongruent,5,9_4,
99_large,"exp (22, 3-7.JPG)",right,n,right,C,461,congruent,4,3_7,
99_large,"exp (66, 9-2.JPG)",left,b,left,C,462,incongruent,7,9_2,
99_large,"exp (24, 3-9.JPG)",right,n,right,C,462,congruent,6,3_9,
99_large,"exp (8, 1-9.JPG)",right,n,right,C,463,congruent,8,1_9,
99_large,"exp (12, 2-5.JPG)",right,n,right,C,463,congruent,3,2_5,
99_large,"exp (36, 5-4.JPG)",left,b,left,C,464,incongruent,1,5_4,
99_large,"exp (14, 2-7.JPG)",right,n,right,C,464,congruent,5,2_7,
99_large,"exp (20, 3-5.JPG)",right,n,right,C,464,congruent,2,3_5,
99_large,"exp (40, 5-9.JPG)",right,n,right,C,464,congruent,4,5_9,
99_large,"exp (17, 3-1.JPG)",left,b,left,C,466,incongruent,2,3_1,small pairs
99_large,"exp (47, 6-8.JPG)",right,n,right,C,466,congruent,2,6_8,large pairs
99_large,"exp (36, 5-4.JPG)",left,b,left,C,466,incongruent,1,5_4,
99_large,"exp (58, 8-2.JPG)",left,b,left,C,467,incongruent,6,8_2,
99_large,"exp (21, 3-6.JPG)",right,n,right,C,468,congruent,3,3_6,
99_large,"exp (24, 3-9.JPG)",right,n,right,C,468,congruent,6,3_9,
99_large,"exp (14, 2-7.JPG)",right,n,right,C,468,congruent,5,2_7,
99_large,"exp (49, 7-1.JPG)",left,b,left,C,469,incongruent,6,7_1,
99_large,"exp (42, 6-2.JPG)",left,b,left,C,469,incongruent,4,6_2,
99_large,"exp (11, 2-4.JPG)",right,n,right,C,470,congruent,2,2_4,small pairs
99_large,"exp (40, 5-9.JPG)",right,n,right,C,470,congruent,4,5_9,
99_large,"exp (41, 6-1.JPG)",left,b,left,C,471,incongruent,5,6_1,
99_large,"exp (68, 9-4.JPG)",left,b,left,C,471,incongruent,5,9_4,
99_large,"exp (42, 6-2.JPG)",left,b,left,C,472,incongruent,4,6_2,
99_large,"exp (63, 8-7.JPG)",left,b,left,C,472,incongruent,1,8_7,large pairs
99_large,"exp (24, 3-9.JPG)",right,n,right,C,472,congruent,6,3_9,
99_large,"exp (14, 2-7.JPG)",right,n,right,C,472,congruent,5,2_7,
99_large,"exp (37, 5-6.JPG)",right,n,right,C,472,congruent,1,5_6,
99_large,"exp (22, 3-7.JPG)",right,n,right,C,473,congruent,4,3_7,
99_large,"exp (18, 3-2.JPG)",left,b,left,C,474,incongruent,1,3_2,small pairs
99_large,"exp (18, 3-2.JPG)",left,b,left,C,474,incongruent,1,3_2,small pairs
99_large,"exp (43, 6-3.JPG)",left,b,left,C,474,incongruent,3,6_3,
99_large,"exp (13, 2-6.JPG)",right,n,right,C,474,congruent,4,2_6,
99_large,"exp (1, 1-2.JPG)",right,n,right,C,476,congruent,1,1_2,small pairs
99_large,"exp (15, 2-8.JPG)",right,n,right,C,476,congruent,6,2_8,
99_large,"exp (20, 3-5.JPG)",right,n,right,C,477,congruent,2,3_5,
99_large,"exp (70, 9-6.JPG)",left,b,left,C,477,incongruent,3,9_6,large pairs
99_large,"exp (5, 1-6.JPG)",right,n,right,C,478,congruent,5,1_6,
99_large,"exp (22, 3-7.JPG)",right,n,right,C,478,congruent,4,3_7,
99_large,"exp (48, 6-9.JPG)",right,n,right,C,478,congruent,3,6_9,large pairs
99_large,"exp (48, 6-9.JPG)",right,n,right,C,478,congruent,3,6_9,large pairs
99_large,"exp (38, 5-7.JPG)",right,n,right,C,478,congruent,2,5_7,
99_large,"exp (44, 6-4.JPG)",left,b,left,C,478,incongruent,2,6_4,
99_large,"exp (9, 2-1.JPG)",left,b,left,C,478,incongruent,1,2_1,small pairs
99_large,"exp (44, 6-4.JPG)",left,b,left,C,478,incongruent,2,6_4,
99_large,"exp (71, 9-7.JPG)",left,b,left,C,479,incongruent,2,9_7,large pairs
99_large,"exp (49, 7-1.JPG)",left,b,left,C,480,incongruent,6,7_1,
99_large,"exp (60, 8-4.JPG)",left,b,left,C,480,incongruent,4,8_4,
99_large,"exp (29, 4-6.JPG)",right,n,right,C,480,congruent,2,4_6,
99_large,"exp (59, 8-3.JPG)",left,b,left,C,480,incongruent,5,8_3,
99_large,"exp (49, 7-1.JPG)",left,b,left,C,480,incongruent,6,7_1,
99_large,"exp (16, 2-9.JPG)",right,n,right,C,480,congruent,7,2_9,
99_large,"exp (61, 8-5.JPG)",left,b,left,C,481,incongruent,3,8_5,
99_large,"exp (51, 7-3.JPG)",left,b,left,C,481,incongruent,4,7_3,
99_large,"exp (10, 2-3.JPG)",right,n,right,C,482,congruent,1,2_3,small pairs
99_large,"exp (51, 7-3.JPG)",left,b,left,C,482,incongruent,4,7_3,
99_large,"exp (41, 6-1.JPG)",left,b,left,C,482,incongruent,5,6_1,
99_large,"exp (46, 6-7.JPG)",right,n,right,C,482,congruent,1,6_7,large pairs
99_large,"exp (72, 9-8.JPG)",left,b,left,C,482,incongruent,1,9_8,large pairs
99_large,"exp (68, 9-4.JPG)",left,b,left,C,484,incongruent,5,9_4,
99_large,"exp (69, 9-5.JPG)",left,b,left,C,484,incongruent,4,9_5,
99_large,"exp (38, 5-7.JPG)",right,n,right,C,484,congruent,2,5_7,
99_large,"exp (66, 9-2.JPG)",left,b,left,C,484,incongruent,7,9_2,
99_large,"exp (31, 4-8.JPG)",right,n,right,C,485,congruent,4,4_8,
99_large,"exp (35, 5-3.JPG)",left,b,left,C,486,incongruent,2,5_3,
99_large,"exp (47, 6-8.JPG)",right,n,right,C,486,congruent,2,6_8,large pairs
99_large,"exp (36, 5-4.JPG)",left,b,left,C,487,incongruent,1,5_4,
99_large,"exp (2, 1-3.JPG)",right,n,right,C,487,congruent,2,1_3,small pairs
99_large,"exp (41, 6-1.JPG)",left,b,left,C,488,incongruent,5,6_1,
99_large,"exp (34, 5-2.JPG)",left,b,left,C,488,incongruent,3,5_2,
99_large,"exp (34, 5-2.JPG)",left,b,left,C,488,incongruent,3,5_2,
99_large,"exp (39, 5-8.JPG)",right,n,right,C,488,congruent,3,5_8,
99_large,"exp (48, 6-9.JPG)",right,n,right,C,488,congruent,3,6_9,large pairs
99_large,"exp (60, 8-4.JPG)",left,b,left,C,489,incongruent,4,8_4,
99_large,"exp (4, 1-5.JPG)",right,n,right,C,489,congruent,4,1_5,
99_large,"exp (30, 4-7.JPG)",right,n,right,C,490,congruent,3,4_7,
99_large,"exp (49, 7-1.JPG)",left,b,left,C,491,incongruent,6,7_1,
99_large,"exp (58, 8-2.JPG)",left,b,left,C,492,incongruent,6,8_2,
99_large,"exp (27, 4-3.JPG)",left,b,left,C,492,incongruent,1,4_3,small pairs
99_large,"exp (3, 1-4.JPG)",right,n,right,C,493,congruent,3,1_4,small pairs
99_large,"exp (28, 4-5.JPG)",right,n,right,C,494,congruent,1,4_5,
99_large,"exp (32, 4-9.JPG)",right,n,right,C,494,congruent,5,4_9,
99_large,"exp (21, 3-6.JPG)",right,n,right,C,496,congruent,3,3_6,
99_large,"exp (10, 2-3.JPG)",right,n,right,C,496,congruent,1,2_3,small pairs
99_large,"exp (69, 9-5.JPG)",left,b,left,C,498,incongruent,4,9_5,
99_large,"exp (57, 8-1.JPG)",left,b,left,C,498,incongruent,7,8_1,
99_large,"exp (67, 9-3.JPG)",left,b,left,C,498,incongruent,6,9_3,
99_large,"exp (13, 2-6.JPG)",right,n,right,C,500,congruent,4,2_6,
99_large,"exp (28, 4-5.JPG)",right,n,right,C,501,congruent,1,4_5,
99_large,"exp (12, 2-5.JPG)",right,n,right,C,501,congruent,3,2_5,
99_large,"exp (50, 7-2.JPG)",left,b,left,C,502,incongruent,5,7_2,
99_large,"exp (16, 2-9.JPG)",right,n,right,C,502,congruent,7,2_9,
99_large,"exp (58, 8-2.JPG)",left,b,left,C,502,incongruent,6,8_2,
99_large,"exp (66, 9-2.JPG)",left,b,left,C,502,incongruent,7,9_2,
99_large,"exp (1, 1-2.JPG)",right,n,right,C,503,congruent,1,1_2,small pairs
99_large,"exp (20, 3-5.JPG)",right,n,right,C,503,congruent,2,3_5,
99_large,"exp (68, 9-4.JPG)",left,b,left,C,504,incongruent,5,9_4,
99_large,"exp (66, 9-2.JPG)",left,b,left,C,506,incongruent,7,9_2,
99_large,"exp (8, 1-9.JPG)",right,n,right,C,506,congruent,8,1_9,
99_large,"exp (11, 2-4.JPG)",right,n,right,C,508,congruent,2,2_4,small pairs
99_large,"exp (7, 1-8.JPG)",right,n,right,C,509,congruent,7,1_8,
99_large,"exp (43, 6-3.JPG)",left,b,left,C,510,incongruent,3,6_3,
99_large,"exp (62, 8-6.JPG)",left,b,left,C,510,incongruent,2,8_6,large pairs
99_large,"exp (35, 5-3.JPG)",left,b,left,C,510,incongruent,2,5_3,
99_large,"exp (68, 9-4.JPG)",left,b,left,C,512,incongruent,5,9_4,
99_large,"exp (16, 2-9.JPG)",right,n,right,C,512,congruent,7,2_9,
99_large,"exp (48, 6-9.JPG)",right,n,right,C,512,congruent,3,6_9,large pairs
99_large,"exp (8, 1-9.JPG)",right,n,right,C,514,congruent,8,1_9,
99_large,"exp (63, 8-7.JPG)",left,b,left,C,514,incongruent,1,8_7,large pairs
99_large,"exp (3, 1-4.JPG)",right,n,right,C,514,congruent,3,1_4,small pairs
99_large,"exp (45, 6-5.JPG)",left,b,left,C,515,incongruent,1,6_5,
99_large,"exp (2, 1-3.JPG)",right,n,right,C,516,congruent,2,1_3,small pairs
99_large,"exp (20, 3-5.JPG)",right,n,right,C,516,congruent,2,3_5,
99_large,"exp (71, 9-7.JPG)",left,b,left,C,518,incongruent,2,9_7,large pairs
99_large,"exp (69, 9-5.JPG)",left,b,left,C,518,incongruent,4,9_5,
99_large,"exp (8, 1-9.JPG)",right,n,right,C,518,congruent,8,1_9,
99_large,"exp (4, 1-5.JPG)",right,n,right,C,519,congruent,4,1_5,
99_large,"exp (53, 7-5.JPG)",left,b,left,C,520,incongruent,2,7_5,
99_large,"exp (35, 5-3.JPG)",left,b,left,C,520,incongruent,2,5_3,
99_large,"exp (42, 6-2.JPG)",left,b,left,C,522,incongruent,4,6_2,
99_large,"exp (69, 9-5.JPG)",left,b,left,C,522,incongruent,4,9_5,
99_large,"exp (5, 1-6.JPG)",right,n,right,C,524,congruent,5,1_6,
99_large,"exp (40, 5-9.JPG)",right,n,right,C,526,congruent,4,5_9,
99_large,"exp (6, 1-7.JPG)",right,n,right,C,526,congruent,6,1_7,
99_large,"exp (70, 9-6.JPG)",left,b,left,C,528,incongruent,3,9_6,large pairs
99_large,"exp (9, 2-1.JPG)",left,b,left,C,528,incongruent,1,2_1,small pairs
99_large,"exp (8, 1-9.JPG)",right,n,right,C,530,congruent,8,1_9,
99_large,"exp (56, 7-9.JPG)",right,n,right,C,530,congruent,2,7_9,large pairs
99_large,"exp (53, 7-5.JPG)",left,b,left,C,530,incongruent,2,7_5,
99_large,"exp (25, 4-1.JPG)",left,b,left,C,530,incongruent,3,4_1,small pairs
99_large,"exp (67, 9-3.JPG)",left,b,left,C,530,incongruent,6,9_3,
99_large,"exp (23, 3-8.JPG)",right,n,right,C,533,congruent,5,3_8,
99_large,"exp (58, 8-2.JPG)",left,b,left,C,534,incongruent,6,8_2,
99_large,"exp (26, 4-2.JPG)",left,b,left,C,534,incongruent,2,4_2,small pairs
99_large,"exp (10, 2-3.JPG)",right,n,right,C,537,congruent,1,2_3,small pairs
99_large,"exp (47, 6-8.JPG)",right,n,right,C,537,congruent,2,6_8,large pairs
99_large,"exp (48, 6-9.JPG)",right,n,right,C,538,congruent,3,6_9,large pairs
99_large,"exp (59, 8-3.JPG)",left,b,left,C,538,incongruent,5,8_3,
99_large,"exp (19, 3-4.JPG)",right,n,right,C,538,congruent,1,3_4,small pairs
99_large,"exp (13, 2-6.JPG)",right,n,right,C,539,congruent,4,2_6,
99_large,"exp (18, 3-2.JPG)",left,b,left,C,539,incongruent,1,3_2,small pairs
99_large,"exp (63, 8-7.JPG)",left,b,left,C,540,incongruent,1,8_7,large pairs
99_large,"exp (22, 3-7.JPG)",right,n,right,C,540,congruent,4,3_7,
99_large,"exp (26, 4-2.JPG)",left,b,left,C,544,incongruent,2,4_2,small pairs
99_large,"exp (56, 7-9.JPG)",right,n,right,C,544,congruent,2,7_9,large pairs
99_large,"exp (9, 2-1.JPG)",left,b,left,C,544,incongruent,1,2_1,small pairs
99_large,"exp (24, 3-9.JPG)",right,n,right,C,544,congruent,6,3_9,
99_large,"exp (21, 3-6.JPG)",right,n,right,C,544,congruent,3,3_6,
99_large,"exp (25, 4-1.JPG)",left,b,left,C,544,incongruent,3,4_1,small pairs
99_large,"exp (45, 6-5.JPG)",left,b,left,C,544,incongruent,1,6_5,
99_large,"exp (55, 7-8.JPG)",right,n,right,C,546,congruent,1,7_8,large pairs
99_large,"exp (31, 4-8.JPG)",right,n,right,C,546,congruent,4,4_8,
99_large,"exp (65, 9-1.JPG)",left,b,left,C,548,incongruent,8,9_1,
99_large,"exp (18, 3-2.JPG)",left,b,left,C,550,incongruent,1,3_2,small pairs
99_large,"exp (14, 2-7.JPG)",right,n,right,C,550,congruent,5,2_7,
99_large,"exp (39, 5-8.JPG)",right,n,right,C,551,congruent,3,5_8,
99_large,"exp (3, 1-4.JPG)",right,n,right,C,552,congruent,3,1_4,small pairs
99_large,"exp (55, 7-8.JPG)",right,n,right,C,552,congruent,1,7_8,large pairs
99_large,"exp (61, 8-5.JPG)",left,b,left,C,552,incongruent,3,8_5,
99_large,"exp (1, 1-2.JPG)",right,n,right,C,554,congruent,1,1_2,small pairs
99_large,"exp (12, 2-5.JPG)",right,n,right,C,556,congruent,3,2_5,
99_large,"exp (70, 9-6.JPG)",left,b,left,C,556,incongruent,3,9_6,large pairs
99_large,"exp (24, 3-9.JPG)",right,n,right,C,556,congruent,6,3_9,
99_large,"exp (23, 3-8.JPG)",right,n,right,C,558,congruent,5,3_8,
99_large,"exp (47, 6-8.JPG)",right,n,right,C,565,congruent,2,6_8,large pairs
99_large,"exp (12, 2-5.JPG)",right,n,right,C,566,congruent,3,2_5,
99_large,"exp (47, 6-8.JPG)",right,n,right,C,566,congruent,2,6_8,large pairs
99_large,"exp (37, 5-6.JPG)",right,n,right,C,566,congruent,1,5_6,
99_large,"exp (38, 5-7.JPG)",right,n,right,C,568,congruent,2,5_7,
99_large,"exp (21, 3-6.JPG)",right,n,right,C,568,congruent,3,3_6,
99_large,"exp (9, 2-1.JPG)",left,b,left,C,574,incongruent,1,2_1,small pairs
99_large,"exp (70, 9-6.JPG)",left,b,left,C,576,incongruent,3,9_6,large pairs
99_large,"exp (38, 5-7.JPG)",right,n,right,C,578,congruent,2,5_7,
99_large,"exp (45, 6-5.JPG)",left,b,left,C,578,incongruent,1,6_5,
99_large,"exp (3, 1-4.JPG)",right,n,right,C,578,congruent,3,1_4,small pairs
99_large,"exp (11, 2-4.JPG)",right,n,right,C,581,congruent,2,2_4,small pairs
99_large,"exp (23, 3-8.JPG)",right,n,right,C,582,congruent,5,3_8,
99_large,"exp (31, 4-8.JPG)",right,n,right,C,582,congruent,4,4_8,
99_large,"exp (61, 8-5.JPG)",left,b,left,C,584,incongruent,3,8_5,
99_large,"exp (55, 7-8.JPG)",right,n,right,C,584,congruent,1,7_8,large pairs
99_large,"exp (46, 6-7.JPG)",right,n,right,C,585,congruent,1,6_7,large pairs
99_large,"exp (64, 8-9.JPG)",right,n,right,C,586,congruent,1,8_9,large pairs
99_large,"exp (32, 4-9.JPG)",right,n,right,C,586,congruent,5,4_9,
99_large,"exp (64, 8-9.JPG)",right,n,right,C,586,congruent,1,8_9,large pairs
99_large,"exp (38, 5-7.JPG)",right,n,right,C,590,congruent,2,5_7,
99_large,"exp (53, 7-5.JPG)",left,b,left,C,600,incongruent,2,7_5,
99_large,"exp (37, 5-6.JPG)",right,n,right,C,600,congruent,1,5_6,
99_large,"exp (71, 9-7.JPG)",left,b,left,C,601,incongruent,2,9_7,large pairs
99_large,"exp (26, 4-2.JPG)",left,b,left,C,602,incongruent,2,4_2,small pairs
99_large,"exp (62, 8-6.JPG)",left,b,left,C,607,incongruent,2,8_6,large pairs
99_large,"exp (30, 4-7.JPG)",right,n,right,C,608,congruent,3,4_7,
99_large,"exp (59, 8-3.JPG)",left,b,left,C,609,incongruent,5,8_3,
99_large,"exp (43, 6-3.JPG)",left,b,left,C,610,incongruent,3,6_3,
99_large,"exp (29, 4-6.JPG)",right,n,right,C,610,congruent,2,4_6,
99_large,"exp (37, 5-6.JPG)",right,n,right,C,610,congruent,1,5_6,
99_large,"exp (46, 6-7.JPG)",right,n,right,C,616,congruent,1,6_7,large pairs
99_large,"exp (72, 9-8.JPG)",left,b,left,C,622,incongruent,1,9_8,large pairs
99_large,"exp (62, 8-6.JPG)",left,b,left,C,622,incongruent,2,8_6,large pairs
99_large,"exp (6, 1-7.JPG)",right,n,right,C,622,congruent,6,1_7,
99_large,"exp (18, 3-2.JPG)",left,b,left,C,628,incongruent,1,3_2,small pairs
99_large,"exp (27, 4-3.JPG)",left,b,left,C,630,incongruent,1,4_3,small pairs
99_large,"exp (63, 8-7.JPG)",left,b,left,C,632,incongruent,1,8_7,large pairs
99_large,"exp (23, 3-8.JPG)",right,n,right,C,634,congruent,5,3_8,
99_large,"exp (56, 7-9.JPG)",right,n,right,C,649,congruent,2,7_9,large pairs
99_large,"exp (30, 4-7.JPG)",right,n,right,C,650,congruent,3,4_7,
99_large,"exp (43, 6-3.JPG)",left,b,left,C,650,incongruent,3,6_3,
99_large,"exp (62, 8-6.JPG)",left,b,left,C,656,incongruent,2,8_6,large pairs
99_large,"exp (54, 7-6.JPG)",left,b,left,C,664,incongruent,1,7_6,large pairs
